１．ワイシャツ    ワイシャツをきる     ワイシャツをかう        ワイシャツをあらう
１４７．会う（あう）     友達にあいます          先生に会いました
１４８．ボタン         ボタンを押してください 　　このボタンはなんですか       ボタンがこわれました
１４９．ラジカセ        ラジカセをかった        ラジカセで　音楽を聞く     　ラジカセがこわれた
１５０．閉まる（しまる）  ドアが閉まる          　窓を閉まる                本が閉まる
１５１．洗濯（せんたく）  洗濯をします            せんたくものを干す（ほす）　　せんたくきを使う
１５２．便利（べんり）　　この店は便利です       　べんりなアプリを使う         駅は便利な場所にある
１５３．毎晩（まいばん）  毎晩勉強します          毎晩散歩します（さんぽ）　　　毎晩ねます
１５４．どれ          　どれがすきですか       どれをかいますか        　　　どれがあなたのかばんですか？
１５５．お手洗い        お手洗いはどこですか  　　お手洗いにいきます         お手洗いがありません
１５６．散歩（さんぽ） 　公園で散歩しょう         犬と散歩する            毎日散歩している
１５７．一人（ひとり）　　ひとりで行く           一人暮らし             　ひとりでたべる
１５８．ラジオ         ラジオを聞く            ラジオ番組（ばんぐみ）   　らじおをかう
１５９．ふろ           ふろにはいる         　　ふろがあつい            ふろをでる
１６０．灰皿（はいざら）　はいざらをください　　　　はいざらがいっぱいだ　　　　はいざらを探している（さがしている）
１６１．ポスト         ポストにてがみを入れる（いれる）　ポストが赤い（あかい）    ポストを探す（さがす）
１６２．掃除（そうじ）　　部屋を掃除する        　毎日掃除をする        　　掃除がすきです
１６３．まい朝　　　　　まい朝　さんぽする　　　　　まい朝　コーヒーをのみむ　　新聞を読む
１６４．ポケット       ポケットにてを入れる   　　ポケットに財布がある　　　　ポケットから鍵をとる（かぎをとる）
１６５．電話（でんわ）　電話を掛ける（かける）　　　でんわがなる            電話を切る（きる）
１６６．お風呂（おふろ）お風呂に入る（はいる）     おふろがすき             おふろをわかす
１６７．テレビ        テレビを見ます          　テレビが好きです       　テレビをかいました
